id_propinsi;id_kota;id_kecamatan;nama_propinsi;nama_kota;nama_kecamatan;Lion Parcel;SiCepat;JNE;JNT Express;JNT Cargo;ID Express;SAP Express;Kode POS
12;270;2402;Bali;Kabupaten Badung;ABIANSEMAL;1802;DPS21101;ABIANSEMAL,MENGUWI;2402;MGW002;ABIANSEMAL,BADUNG,BALI;BL0401;"80115
80238
80352
80571"
12;270;1759;Bali;Kabupaten Badung;KUTA;1821;DPS21102;KUTA;1759;MGW005;KUTA,BADUNG,BALI;BL0402;80361
12;270;842;Bali;Kabupaten Badung;KUTA SELATAN;1822;DPS21111;KUTA SELATAN,BADUNG;842;DPS008;KUTA SELATAN,BADUNG,BALI;BL0403;80361
12;270;3535;Bali;Kabupaten Badung;KUTA UTARA;1823;DPS21110;KUTA UTARA,BADUNG;3535;MGW004;KUTA UTARA,BADUNG,BALI;BL0404;"80111
80117
80351
80361"
12;270;1623;Bali;Kabupaten Badung;MENGWI;1828;DPS21100;BADUNG KAB, MENGWI;1623;MGW001;MENGWI,BADUNG,BALI;BL0405;"08361
80115
80116
80117
80251
80351
80352"
12;270;9;Bali;Kabupaten Badung;PETANG;1834;DPS21108;PETANG,MENGUWI;9;MGW003;PETANG,BADUNG,BALI;BL0406;80353
12;271;4629;Bali;Kabupaten Bangli;BANGLI;;;;;;;;
12;271;2113;Bali;Kabupaten Bangli;KINTAMANI;;;;;;;;
12;271;4268;Bali;Kabupaten Bangli;SUSUT;;;;;;;;
12;271;4990;Bali;Kabupaten Bangli;TEMBUKU;;;;;;;;
12;272;553;Bali;Kabupaten Buleleng;BANJAR;;;;;;;;
12;272;2664;Bali;Kabupaten Buleleng;BULELENG;;;;;;;;
12;272;184;Bali;Kabupaten Buleleng;BUSUNGBIU;;;;;;;;
12;272;3550;Bali;Kabupaten Buleleng;GEROKGAK;;;;;;;;
12;272;462;Bali;Kabupaten Buleleng;KUBUTAMBAHAN;;;;;;;;
12;272;6183;Bali;Kabupaten Buleleng;SAWAN;;;;;;;;
12;272;6382;Bali;Kabupaten Buleleng;SERIRIT;;;;;;;;
12;272;148;Bali;Kabupaten Buleleng;SUKASADA;;;;;;;;
12;272;812;Bali;Kabupaten Buleleng;TEJAKULA;;;;;;;;
12;273;5074;Bali;Kabupaten Gianyar;BLAHBATUH;;;;;;;;
12;273;5918;Bali;Kabupaten Gianyar;GIANYAR;;;;;;;;
12;273;3588;Bali;Kabupaten Gianyar;PAYANGAN;;;;;;;;
12;273;18;Bali;Kabupaten Gianyar;SUKAWATI;;;;;;;;
12;273;6095;Bali;Kabupaten Gianyar;TAMPAKSIRING;;;;;;;;
12;273;1996;Bali;Kabupaten Gianyar;TEGALLALANG;;;;;;;;
12;273;5935;Bali;Kabupaten Gianyar;UBUD;;;;;;;;
12;274;3181;Bali;Kabupaten Jembrana;JEMBRANA;;;;;;;;
12;274;485;Bali;Kabupaten Jembrana;MELAYA;;;;;;;;
12;274;5166;Bali;Kabupaten Jembrana;MENDOYO;;;;;;;;
12;274;4146;Bali;Kabupaten Jembrana;NEGARA;;;;;;;;
12;274;5025;Bali;Kabupaten Jembrana;PEKUTATAN;;;;;;;;
12;275;9149;Bali;Kabupaten Karangasem;Abang;;;;;;;;
12;275;9152;Bali;Kabupaten Karangasem;Bebandem;;;;;;;;
12;275;9153;Bali;Kabupaten Karangasem;Karangasem;;;;;;;;
12;275;9147;Bali;Kabupaten Karangasem;Kubu;;;;;;;;
12;275;9154;Bali;Kabupaten Karangasem;Manggis;;;;;;;;
12;275;9148;Bali;Kabupaten Karangasem;Rendang;;;;;;;;
12;275;9151;Bali;Kabupaten Karangasem;Selat;;;;;;;;
12;275;9150;Bali;Kabupaten Karangasem;Sidemen;;;;;;;;
12;276;1421;Bali;Kabupaten Klungkung;BANJARANGKAN;;;;;;;;
12;276;498;Bali;Kabupaten Klungkung;DAWAN;;;;;;;;
12;276;4529;Bali;Kabupaten Klungkung;KLUNGKUNG;;;;;;;;
12;276;12489;Bali;Kabupaten Klungkung;NUSA PENIDA;;;;;;;;
12;276;6483;Bali;Kabupaten Klungkung;NUSAPENIDA;;;;;;;;
12;277;1324;Bali;Kabupaten Tabanan;BATURITI;;;;;;;;
12;277;22756;Bali;Kabupaten Tabanan;KEDIRI;;;;;;;;
12;277;1531;Bali;Kabupaten Tabanan;KERAMBITAN;;;;;;;;
12;277;1216;Bali;Kabupaten Tabanan;MARGA;;;;;;;;
12;277;4539;Bali;Kabupaten Tabanan;PENEBEL;;;;;;;;
12;277;6256;Bali;Kabupaten Tabanan;PUPUAN;;;;;;;;
12;277;1484;Bali;Kabupaten Tabanan;SELEMADEG;;;;;;;;
12;277;6026;Bali;Kabupaten Tabanan;SELEMADEG BARAT;;;;;;;;
12;277;4086;Bali;Kabupaten Tabanan;SELEMADEG TIMUR;;;;;;;;
12;277;4503;Bali;Kabupaten Tabanan;TABANAN;;;;;;;;
12;278;5533;Bali;Kota Denpasar;DENPASAR BARAT;;;;;;;;
12;278;2066;Bali;Kota Denpasar;DENPASAR SELATAN;;;;;;;;
12;278;4806;Bali;Kota Denpasar;DENPASAR TIMUR;;;;;;;;
12;278;190;Bali;Kota Denpasar;DENPASAR UTARA;;;;;;;;
10;154;1441;Banten;Kabupaten Lebak;BAYAH;;;;;;;;
10;154;3626;Banten;Kabupaten Lebak;BOJONGMANIK;;;;;;;;
10;154;11845;Banten;Kabupaten Lebak;CIBADAK;;;;;;;;
10;154;5989;Banten;Kabupaten Lebak;CIGEMBLONG;;;;;;;;
10;154;4427;Banten;Kabupaten Lebak;CIHARA;;;;;;;;
10;154;2706;Banten;Kabupaten Lebak;CIJAKU;;;;;;;;
10;154;5403;Banten;Kabupaten Lebak;CIKULUR;;;;;;;;
